numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14115,ARMSTRONG,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-10-04,,,NET,,,,SYNGENTA AGRO S.A.,BRUN AGOSTINA,,
14116,ARNOLD,TOMATE,HIBRIDO,Lycopersicon lycopersicum (L.) Karst. ex,HT,2012-10-04,,,NET,,,,SYNGENTA AGRO S.A.,BRUN AGOSTINA,,
14118,SYB85IMIRM,GIRASOL,LINEA,Helianthus annuus L.,OL,,2013-04-19,2033-04-19,ARG,,,,,,SYNGENTA CROP PROTECTION AG,BRUN AGOSTINA 
14119,SYB84IMIRM,GIRASOL,LINEA,Helianthus annuus L.,OL,,2013-04-19,2033-04-19,ARG,,,,,,SYNGENTA CROP PROTECTION AG,BRUN AGOSTINA 
14122,SYR182IMIRM,GIRASOL,LINEA,Helianthus annuus L.,OL,,2013-04-19,2033-04-19,ARG,,,,,,SYNGENTA CROP PROTECTION AG,BRUN AGOSTINA 
14124,KILLA INTA,AJO,,Allium sativum L.,HT,2012-11-01,,,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14125,OCONEE,PECAN,,Carya illinoinensis,FR,2014-05-13,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14126,PAWNEE,PECAN,,Carya illinoinensis,FR,2013-10-02,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14127,SUMNER,PECAN,,Carya illinoinensis,FR,2013-10-02,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14128,WICHITA,PECAN,,Carya illinoinensis,FR,2013-10-02,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14129,WESTERN SCHLEY,PECAN,,Carya illinoinensis,FR,2014-07-03,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14130,CAPE FEAR,PECAN,,Carya illinoinensis,FR,2013-10-02,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14131,KIOWA,PECAN,,Carya illinoinensis,FR,2013-10-02,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14132,GLORIA GRANDE,PECAN,,Carya illinoinensis,FR,2014-07-03,,,UN3,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,,
14133,H 830R,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-09,,,ARG,,,,HORUS CO SA,PALMER JUAN FEDERICO,,
